,authId,eccs,papers,pianyiliang,Hindex
4782,'auId': 100126749,16,1,16,1
5415,'auId': 1002306758,3,3,1,1
4880,'auId': 100940550,14,1,14,1
1744,'auId': 100988613,20,1,20,1
1400,'auId': 1016002174,9,1,9,1
3948,'auId': 1017381700,1,1,1,1
490,'auId': 101938652,206,3,68.67,3
4043,'auId': 102181720,125,2,62.5,2
2205,'auId': 102275141,37,2,18.5,2
705,'auId': 102275441,1,1,1,1
3977,'auId': 103135560,26,3,8.67,2
4564,'auId': 1037429264,19,1,19,1
5029,'auId': 1044551098,54,1,54,1
377,'auId': 104948846,9,1,9,1
2382,'auId': 105756682,318,2,159,2
993,'auId': 106048563,112,1,112,1
806,'auId': 106479266,11,1,11,1
1432,'auId': 106976540,226,1,226,1
2782,'auId': 1075592465,883,7,126.14,7
5424,'auId': 1078861520,63,2,31.5,2
1516,'auId': 1082331640,18,2,9,1
5662,'auId': 108406206,41,2,20.5,2
1013,'auId': 108520509,9,1,9,1
856,'auId': 108650573,6,1,6,1
1987,'auId': 1089947631,2,1,2,1
1688,'auId': 1090210213,187,1,187,1
5712,'auId': 1090744937,16,1,16,1
232,'auId': 109346679,15,1,15,1
4718,'auId': 1103513122,44,6,7.33,5
3938,'auId': 1103578285,78,1,78,1
1082,'auId': 1108061751,6,1,6,1
2898,'auId': 1109698060,4,1,4,1
769,'auId': 1111049960,996,6,166,5
1285,'auId': 111233263,122,4,30.5,3
4223,'auId': 111496783,6,1,6,1
1154,'auId': 1117635875,27,4,6.75,3
4236,'auId': 1119378480,9,1,9,1
2053,'auId': 112062124,3,1,3,1
3625,'auId': 1121013121,1,1,1,1
5480,'auId': 1121136751,11,1,11,1
778,'auId': 112407019,68,3,22.67,3
1364,'auId': 1124665290,9,1,9,1
4606,'auId': 1124837368,12,3,4,3
912,'auId': 1125327664,9,1,9,1
2614,'auId': 1127615553,22,1,22,1
2326,'auId': 1128290216,10,1,10,1
2993,'auId': 112933558,10,1,10,1
1542,'auId': 1129598469,99,1,99,1
107,'auId': 112986770,19,2,9.5,2
501,'auId': 1133076831,115,5,23,5
4898,'auId': 1156305176,11,1,11,1
5248,'auId': 1157737953,187,1,187,1
3699,'auId': 1158934300,5,1,5,1
983,'auId': 1160929418,96,1,96,1
2739,'auId': 1171453863,10253,1,10253,1
2517,'auId': 1173511691,7,1,7,1
1167,'auId': 1186584138,29,3,9.67,3
2024,'auId': 118900537,3,1,3,1
1290,'auId': 1190321462,382,4,95.5,4
2031,'auId': 119116061,10,1,10,1
1982,'auId': 1192728506,13,1,13,1
719,'auId': 1195575240,100,5,20,3
1213,'auId': 1198110563,41,2,20.5,2
351,'auId': 1201773252,65,1,65,1
